,brand,model,partner_price,retail_price,category
0,Cisco,AIR-ANT5160NP-R=,210.0,350.0,Network
1,Cisco,AIR-ANT5150VG-N=,119.4,199.0,Network
2,Cisco,AIR-ANT5160V-R,125.4,209.0,Network
3,Cisco,AIR-ANT5170P-R,239.4,399.0,Network
4,Cisco,AIR-ANT5175V-N=,125.4,209.0,Network
5,Cisco,AIR-ANT5150HG-N=,119.4,199.0,Network
6,Cisco,AIR-ANT5145V-R,167.4,279.0,Network
7,Cisco,AIR-ANT5140V-R=,149.4,249.0,Network
8,Cisco,AIR-ANT5140V-R-RF,89.4,149.0,Network
9,Cisco,AIR-ANT5140V-N=,149.4,249.0,Network
10,Cisco,AIR-ANT5180V-N,149.4,249.0,Network
11,Cisco,AIR-ANT5180V-N=,149.4,249.0,Network
12,Cisco,AIR-ANT5195P-R,143.4,239.0,Network
13,Cisco,AIR-ANTM2050D-R=,27.6,46.0,Network
14,Cisco,AIR-ANT2547V-N=,179.4,299.0,Network
15,Cisco,AIR-ANT2450VG-N=,119.4,199.0,Network
16,Cisco,AIR-ANT2451NV-R-RF,171.0,285.0,Network
17,Cisco,AIR-ANT2451NV-R=,285.0,475.0,Network
18,Cisco,AIR-ANT2451V-R=,210.0,350.0,Network
19,Cisco,AIR-ANT2452V-R=,125.4,209.0,Network
20,Cisco,AIR-ANT2460NP-R=,210.0,350.0,Network
21,Cisco,AIR-ANT5140V-N,149.4,249.0,Network
22,Cisco,AIR-ANT5140NV-R=,239.4,399.0,Network
23,Cisco,AIR-ANT5135SDW-R=,21.0,35.0,Network
24,Cisco,AIR-ANT2547VG-N=,209.4,349.0,Network
25,Cisco,AIR-ANT2566P4W-R=,419.4,699.0,Network
26,Cisco,AIR-ANT2566P4WR-RF,251.4,419.0,Network
27,Cisco,AIR-ANT2568VG-N,239.4,399.0,Network
28,Cisco,AIR-ANT2568VG-N=,239.4,399.0,Network
29,Cisco,AIR-ANT2588P3M-N=,569.4,949.0,Network
30,Cisco,AIR-ANT4941,11.4,19.0,Network
31,Cisco,AIR-ANT4941-RF,3.6,6.0,Network
32,Cisco,AIR-ANT5114P-N=,359.4,599.0,Network
33,Cisco,AIR-ANT5135SDW-R,21.0,35.0,Network
34,Cisco,AIR-ANT5135DW-R=,15.0,25.0,Network
35,Cisco,AIR-ANT5135DW-R,15.0,25.0,Network
36,Cisco,AIR-ANT5135DG-R=,11.4,19.0,Network
37,Cisco,AIR-ANT5135DG-R,11.4,19.0,Network
38,Cisco,AIR-ANT5114P2M-N=,359.4,599.0,Network
39,Cisco,AIR-ANT5114P2MN-RF,215.4,359.0,Network
40,Cisco,AIR-ANT5135DB-R,11.4,19.0,Network
41,Cisco,AIR-ANT5135D-R,11.4,19.0,Network
53,Cisco,AIM-VPNEPIIPLUS-RF,905.4,1509.0,Network
54,Cisco,AIR-ANT2547V-N-RF,107.4,179.0,Network
55,Cisco,AIR-ANT2547V-N-HZ=,179.4,299.0,Network
56,Cisco,AIR-ANT2547V-N,179.4,299.0,Network
57,Cisco,AIR-ANT2544V4MR-RF,287.4,479.0,Network
58,Cisco,AIR-ANT2544V4M-R=,479.4,799.0,Network
59,Cisco,AIR-ANT2544V4M-R8=,569.4,949.0,Network
60,Cisco,AIR-ANT2535SDW-R=,35.4,59.0,Network
61,Cisco,AIR-ANT2535SDW-R,35.4,59.0,Network
62,Cisco,AIR-ANT2524V4CR-RF,179.4,299.0,Network
63,Cisco,AIR-ANT2524V4C-R=,299.4,499.0,Network
64,Cisco,AIR-ANT2524DW-R-RF,13.8,23.0,Network
65,Cisco,AIR-ANT2524DW-R,23.4,39.0,Network
66,Cisco,AIR-ANT2524DG-R=,23.4,39.0,Network
67,Cisco,AIR-ANT2524DG-R,23.4,39.0,Network
68,Cisco,AIR-ANT2524DB-R=,23.4,39.0,Network
69,Cisco,AIR-ANT2524DB-R,23.4,39.0,Network
70,Cisco,AIR-ANT2513P4MN-RF,539.4,899.0,Network
71,Cisco,AIR-ANT2513P4M-N=,899.4,1499.0,Network
72,Cisco,AIR-ANT25137NPR-RF,467.4,779.0,Network
73,Cisco,AIR-ANT25137NP-R=,779.4,1299.0,Network
74,Cisco,AIR-ANT25137NP-R4=,2268.0,3780.0,Network
75,Cisco,AIR-ANT2506-RF,57.0,95.0,Network
76,Cisco,AIR-ANT2506,95.4,159.0,Network
77,Cisco,AIR-ANT2485P-R,143.4,239.0,Network
78,Cisco,AIR-ANT2480V-N=,239.4,399.0,Network
79,Cisco,AIR-ANT2480V-N-RF,143.4,239.0,Network
80,Cisco,AIR-ANT2480V-N,239.4,399.0,Network
81,Cisco,AIR-ANT2465P-R-RF,143.4,239.0,Network
82,Cisco,AIR-ANT2465P-R,239.4,399.0,Network
83,Cisco,AIR-ANT2460P-R,131.4,219.0,Network
84,Cisco,AIR-ANT2450HG-N=,119.4,199.0,Network
85,Cisco,AIR-ANT2440NV-R=,213.0,355.0,Network
86,Cisco,AIR-ANT2430V-R=,149.4,249.0,Network
87,Cisco,AIR-ANT2422SDW-R=,21.0,35.0,Network
88,Cisco,AIR-ANT2422SDW-R,21.0,35.0,Network
89,Cisco,AIR-ANT2422DW-R=,15.0,25.0,Network
90,Cisco,AIR-ANT2422DW-R,15.0,25.0,Network
91,Cisco,AIR-ANT2422DG-R=,11.4,19.0,Network
92,Cisco,AIR-ANT2422DG-R,11.4,19.0,Network
93,Cisco,AIR-ANT2422DB-R,11.4,19.0,Network
94,Cisco,AIR-ANT2420V-N=,95.4,159.0,Network
95,Cisco,AIR-ANT2420V-N,95.4,159.0,Network
96,Cisco,AIR-ANT2414S-R,719.4,1199.0,Network
97,Cisco,AIR-ANT2413P2MN-RF,215.4,359.0,Network
98,Cisco,AIR-ANT2413P2M-N=,359.4,599.0,Network
99,Cisco,AIR-ANT24120-RF,250.2,417.0,Network
100,Cisco,AIR-ANT24120,417.0,695.0,Network
101,Cisco,AIR-ANT24020V-R=,167.4,279.0,Network
102,Cisco,AIR-ANT1728,95.4,159.0,Network
103,Cisco,AIR-ANT-GPS-1=,179.4,299.0,Network
104,Cisco,AIR-ANT-GPS-1,179.4,299.0,Network
105,Cisco,AIR-ACCSMK1570-3=,89.4,149.0,Network
106,Cisco,AIR-ACCSMK1570-3,89.4,149.0,Network
107,Cisco,AIR-ACCSMK1570-2=,53.4,89.0,Network
108,Cisco,AIR-ACCSMK1570-2,53.4,89.0,Network
109,Cisco,AIR-ACCSMK1570-1=,17.4,29.0,Network
110,Cisco,AIR-ACCSMK1570-1,,,Network
111,Cisco,AIR-ACCSMK1550=,77.4,129.0,Network
112,Cisco,AIR-ACCSMK1550-RF,46.2,77.0,Network
113,Cisco,AIR-ACCSMK1520-2=,77.4,129.0,Network
114,Cisco,AIR-ACCPMK3700-2,263.4,439.0,Network
115,Cisco,AIR-ACCPMK1570-3=,263.4,439.0,Network
116,Cisco,AIR-ACCPMK1570-2=,203.4,339.0,Network
120,Cisco,BDCM-COP3-500,16758.0,27930.0,Network
121,Cisco,BDCM-DLBYAC3-TC,399.0,665.0,Network
124,Cisco,BDCM-DTFBISS,19607.4,32679.0,Network
125,Cisco,BDCM-DVBSCR,115.8,193.0,Network
126,Cisco,AIR-ANT2547VG-N,209.4,349.0,Network
127,Cisco,AIR-ANT2450V-N=,95.4,159.0,Network
128,Cisco,AIR-ACCPMK1570-1,119.4,199.0,Network
129,Cisco,AIR-ACCPMK1550HZM=,666.0,1110.0,Network
130,Cisco,AIR-ACCPMK1550=,203.4,339.0,Network
131,Cisco,AIR-ACCPMK1520=,101.4,169.0,Network
132,Cisco,AIR-ACCAMK-1=,179.4,299.0,Network
133,Cisco,AIR-ACC370-NM-RF=,30.0,50.0,Network
134,Cisco,AIR-ACC370-NM-RF,30.0,50.0,Network
135,Cisco,AIR-ACC370-NF-NF=,30.0,50.0,Network
136,Cisco,AIR-ACC370-NF-NF,30.0,50.0,Network
137,Cisco,AIR-ACC2538,0.58,29.0,Network
138,Cisco,AIR-ACC2537-060,41.4,69.0,Network
139,Cisco,AIR-ACC245LA-R,149.4,249.0,Network
140,Cisco,AIR-ACC245LA-N=,173.4,289.0,Network
141,Cisco,AIR-ACC245LA-N-RF,103.8,173.0,Network
142,Cisco,AIR-ACC1560-PMK1=,77.4,129.0,Network
143,Cisco,AIR-ACC1550-GPS2,239.4,399.0,Network
144,Cisco,AIR-ACC1550-GPS1,239.4,399.0,Network
145,Cisco,AIR-ACC1530-PMK2=,119.4,199.0,Network
146,Cisco,AIR-ACC1530-PMK1=,59.4,99.0,Network
147,Cisco,AIR-ACC1530-PMK1,59.4,99.0,Network
148,Cisco,AIR-ACC1530-KIT1=,179.4,299.0,Network
149,Cisco,AIR-ACC1530-CVR=,59.4,99.0,Network
150,Cisco,AIR-ACC15-SFP-GLD=,269.4,449.0,Network
151,Cisco,AIR-ACC15-N-CAP=,59.4,99.0,Network
152,Cisco,AIR-ACC15-GLANDS=,239.4,399.0,Network
153,Cisco,AIR-ACC15-DC-PLGS=,59.4,99.0,Network
154,Cisco,AIR-ACC15-AC-PLGS=,299.4,499.0,Network
155,Cisco,AIR-ACC15-AC-CAP=,149.4,249.0,Network
156,Cisco,AIR-ACC-CLIP-20=,30.0,50.0,Network
157,Cisco,AIR-1550S-FIB-KIT=,95.4,159.0,Network
158,Cisco,AIR-1520BATT6AH-RF,359.4,599.0,Power
159,Cisco,AIR-1520-FIB-REEL=,131.4,219.0,Network
160,Cisco,AIR-1520-BATT-6AH=,599.4,999.0,Network
161,Cisco,AIR-1520-BATT-6AH,479.4,799.0,Network
162,Cisco,AIMVPN/BPIIPLUS-RF,361.8,603.0,Network
163,Cisco,AIM-VPNHPIIPLUS-RF,724.2,1207.0,Network
164,Cisco,AIR-ACCPMK1570-1=,119.4,199.0,Network
165,Cisco,AIR-ANT2450V-N-HZ=,95.4,159.0,Network
166,Cisco,AIR-ANT2450V-N-HZ,95.4,159.0,Network
167,Cisco,AIR-ANT2450S-R=,135.0,225.0,Network
168,Cisco,SPN-9400-K9,10350.0,17250.0,Network
169,Cisco,SPN-9400-LIT-K9=,51000.0,85000.0,Network
170,Cisco,SPN-9500-K9,14430.0,24050.0,Network
171,Cisco,SPN-9500-LIT-K9=,75000.0,125000.0,Network
172,Cisco,CRS-16-FC140/S=,37500.0,62500.0,Network
173,Cisco,CRS-16-FC400/M-8P=,600000.0,1000000.0,Network
174,Cisco,CRS-16-FC400/M-BN=,237000.0,395000.0,Network
175,Cisco,CRS-16-FC400/M=,84000.0,140000.0,Network
176,Cisco,CRS-16-DOORS-F=,3000.0,5000.0,Network
177,Cisco,CRS-16-DCKIT-M-B=,54000.0,90000.0,Network
178,Cisco,CRS-16-B-UPG,108000.0,180000.0,Network
179,Cisco,CRS-16-ALARM-C=,3600.0,6000.0,Network
180,Cisco,CRS-16-ALARM-B=,2700.0,4500.0,Network
181,Cisco,CRS-16-ALARM-B-RF,1620.0,2700.0,Network
182,Cisco,CRS-16-AIRDEF-IRC,2400.0,4000.0,Network
183,Cisco,CRS-16-ACKIT-M-B=,54000.0,90000.0,Network
184,Cisco,CRS-16-400G-UPG,90000.0,150000.0,Network
185,Cisco,CRS-16-140G-UPG-RF,54000.0,90000.0,Network
186,Cisco,STRATM-SP-RF,270.0,450.0,Network
187,Cisco,STRATM-RDOOR-RF,180.0,300.0,Network
188,Cisco,CRS-16-140G-UPG,90000.0,150000.0,Network
189,Cisco,STK-RACKMNT-2955=,75.0,125.0,DELETE
190,Cisco,STACK-T2-BLANK=,30.0,50.0,Network
191,Cisco,STACK-T2-50CM=,60.0,100.0,Network
192,Cisco,STACK-T2-3M=,180.0,300.0,Network
193,Cisco,STACK-T2-3M,180.0,300.0,Network
194,Cisco,CRS-16-FC400/S=,37500.0,62500.0,Network
195,Cisco,AIM-VPN/SSL-3=,2100.0,3500.0,Network
196,Cisco,AIM-VPN/SSL-2=,1500.0,2500.0,Network
197,Cisco,AIM-VPN/SSL-1=,1050.0,1750.0,Network
198,Cisco,AIM-VPN/HPII-RF,724.2,1207.0,Network
199,Cisco,AIM-VPN/HP-RF,724.2,1207.0,Network
200,Cisco,AIM-VPN/EPII-RF,517.2,862.0,Network
201,Cisco,AIM-VPN/EP-RF,414.0,690.0,Network
202,Cisco,AIM-VPN/BPII-RF,361.8,603.0,Network
203,Cisco,AIM-VPN/BP-RF,310.2,517.0,Network
204,Cisco,AIM-VOICE-30-RF,827.4,1379.0,Network
205,Cisco,AIM-IPS-K9=,60.0,3000.0,Network
206,Cisco,AIM-CUE-RF,464.4,774.0,Network
207,Cisco,AIM-COMPR4-RF,414.0,690.0,Network
208,Cisco,AIM-COMPR2-V2-RF,205.8,343.0,Network
209,Cisco,AIM-COMPR2-RF,205.8,343.0,Network
210,Cisco,SR10ES-12244SQ=,6600.0,11000.0,Server
211,Cisco,SR10ES-12244SQ,6600.0,11000.0,Server
212,Cisco,SR10EK9-34-1502SQ,6600.0,11000.0,Network
215,Cisco,SR10E-34-1502SQ,6600.0,11000.0,Network
218,Cisco,SPVAC-H5610-S-US=,119.4,199.0,Network
219,Cisco,SPVAC-H5610-S-TW=,119.4,199.0,Network
220,Cisco,SPVAC-H5610-S-JP=,119.4,199.0,Network
221,Cisco,SPVAC-H5610-S-EU=,119.4,199.0,Network
222,Cisco,SPVAC-H5610-S-CL=,119.4,199.0,Network
223,Cisco,SPVAC-H450-W-US=,119.4,199.0,Network
224,Cisco,SPVAC-C7416-S=,155.4,259.0,DELETE
235,Cisco,SPN-CAB-VID-G3=,117.0,195.0,Network
236,Cisco,SPN-CAB-BNC-123=,177.0,295.0,Network
237,Cisco,SPN-BASE-LIT-K9=,23997.0,39995.0,Network
238,Cisco,CRS-16-DOORS-R=,3000.0,5000.0,Network
239,Cisco,CRS-16-DOORS-R,3000.0,5000.0,Network
240,Cisco,CRS-16-DRILLTEMP=,360.0,600.0,Network
241,Cisco,CRS-16-F-CT-B++=,8100.0,13500.0,Network
242,Cisco,CRS-16-FC140/M-8P=,600000.0,1000000.0,Network
243,Cisco,CRS-16-FC140/M-BN=,237000.0,395000.0,Network
244,Cisco,CRS-16-FC140/M=,84000.0,140000.0,Network
245,Cisco,CRS-16-FC140/S++=,37500.0,62500.0,Network
246,Cisco,CRS-16-FC140/S-RF,22500.0,37500.0,Network
247,Cisco,CRS-16-FAN-CT++=,8100.0,13500.0,Network
248,Cisco,CRS-16-FC/S-RF,22500.0,37500.0,Network
249,Cisco,CRS-16-FC/M-RF,23400.0,39000.0,Network
250,Cisco,CRS-16-FAN-CT=,8100.0,13500.0,Network
251,Cisco,CRS-16-FANTRAY=,12300.0,20500.0,Network
252,Cisco,CPT-50-BRKTWM=,30.0,50.0,Network
253,Cisco,CPT-50-FTA=,120.0,200.0,Network
254,Cisco,CPT-50-FTF=,18.0,30.0,Network
255,Cisco,CPT-AC-CBL-ARG=,24.0,40.0,Power
256,Cisco,CPT-AC-CBL-AUS=,24.0,40.0,Power
