Effective Date,Meter Category,Meter Subcategory,Region,Name,Resource ID,Tags,Included Quantities,Minimum Value,AUD,CAD,CHF,DKK,EUR,GBP,INR,JPY,KRW,NOK,NZD,RUB,SEK,TWD,USD
9/1/2017,Networking,ExpressRoute,Zone 2,Unlimited Data - 1 Gbps,4b836326-7e19-46e6-8bce-1b19bb6cd91e,,0,0,9419.0115,8991.5805,6678.4245,46539.693,6236.2035,5511.560055,488781.76875,754290,8874000,60003.7695,11041.4745,462187.5,58207.524,229448.3625,7395
9/1/2017,Azure App Service,,UK South,Isolated Small App Service Hours,0e8d32f2-fa57-4cea-b034-086ddffde2d7,,0,0,0.488489424,0.466321968,0.346356912,2.413644768,0.323422416,0.28584090768,25.3492338,39.11904,460.224,3.111919632,0.572633712,23.97,3.018762624,11.8996668,0.38352
9/1/2017,Storage,Locally Redundant,IN South,Standard Managed Disk/S50 (Units),0509dd1b-6440-4a7e-94aa-4220e262769d,,0,0,88.6902784,84.6655488,62.8846592,438.2220288,58.7206656,51.897356288,4602.41408,7102.464,83558.4,565.0010112,103.9675392,4352,548.0873984,2160.50688,69.632
9/1/2017,Cloud Services,Standard_L16 Cloud Services,AU East,Compute Hours,1e8f6d9f-8b40-4c97-80cc-cff87a290a93,,0,0,2.41646364,2.30680548,1.71336132,11.93983848,1.59990876,1.4140002348,125.3978055,193.5144,2276.64,15.39407052,2.83270932,118.575,14.93324064,58.865373,1.8972
9/1/2017,Virtual Machines,A1 VM (Windows),US Gov AZ,Compute Hours,0896618a-acbd-4570-bb6f-9fdd2bfe4b0d,,0,0,0.089859535,0.085781745,0.063713705,0.44399937,0.059494815,0.05258154995,4.6630904375,7.1961,84.66,0.572449755,0.105338205,4.409375,0.55531316,2.188990125,0.07055
9/1/2017,Virtual Machines,Standard_D1_v2 VM (Windows),BR South,Compute Hours,7a2639ce-ae47-4413-9837-6b4f4b78be3d,,0,0,0.14290914,0.13642398,0.10132782,0.70611948,0.09461826,0.0836236698,7.41599925,11.4444,134.64,0.91040202,0.16752582,7.0125,0.88314864,3.4812855,0.1122
9/1/2017,Cloud Services,Standard_D2 Cloud Services,EU North,Compute Hours,b92dc7a2-b467-4b5c-b880-6776416d7a4b,,0,0,0.27932241,0.26664687,0.19804983,1.38014262,0.18493569,0.1634462637,14.494907625,22.3686,263.16,1.77942213,0.32743683,13.70625,1.72615416,6.80433075,0.2193
9/1/2017,Data Services,SQL Database,UK South,Premium Elastic Database Existence,de330655-17ee-423c-8dde-a1a7ecbd7ee5,,0,0,0.54565308,0.52089156,0.38688804,2.69609256,0.36126972,0.3192903756,28.3156335,43.6968,514.08,3.47608044,0.63964404,26.775,3.37202208,13.292181,0.4284
9/1/2017,Business Analytics,A3 HDInsight,BR South,Compute Hours,0c0f42d3-b620-46ab-9e09-f440e4e773cb,,0,0,0.42223155,0.40307085,0.29937765,2.0862621,0.27955395,0.2470699335,21.910906875,33.813,397.8,2.68982415,0.49496265,20.71875,2.6093028,10.28561625,0.3315
9/1/2017,Cloud Services,Standard_E4_v3 Cloud Services,US West 2,Compute Hours,5c20df0a-a729-45e6-a9f2-947ea5dcae5d,,0,0,0.48719025,0.46508175,0.34543575,2.4072255,0.32256225,0.2850806925,25.281815625,39.015,459,3.10364325,0.57111075,23.90625,3.010734,11.86801875,0.3825
