,model,retail_price,partner_price,category,brand
0,VIPR SRM ATMOS 1TB =CB,$325,$241,Storage,EMC
1,ATMOS G2 PLATFORM BASE,"$21,207","$15,693",Storage,EMC
2,ATMOS G2 PLATFORM BASE,"$24,310","$17,989",Storage,EMC
3,ATMOS G2 PLATFORM BASE,"$4,650","$3,441",Storage,EMC
4,ATMOS G2 PLATFORM BASE,"$8,235","$6,094",Storage,EMC
5,DISK PACK 60 1TB SATA 7.2K QTY1 TAA G3,"$49,500","$36,630",Storage,EMC
6,DISK PACK 60 2TB SATA 7.2K QTY1 TAA G3,"$74,800","$55,352",Storage,EMC
7,DISK PACK 60 4TB SATA 7.2K QTY1 TAA G3,"$129,700","$95,978",Storage,EMC
8,ATMOS G3D PLATFORM NODE 30 DISK 1T,"$23,900","$17,686",Storage,EMC
9,ATMOS G3D PLATFORM NODE 30 DISK 2T,"$36,700","$27,158",Storage,EMC
10,ATMOS G3D PLATFORM NODE 30 DISK 4T,"$53,635","$39,690",Storage,EMC
11,ATMOS G3D PLATFORM NODE 60 DISK 2T,"$66,600","$49,284",Storage,EMC
12,ATMOS G3D PLATFORM NODE 60 DISK 3T,"$93,575","$69,246",Storage,EMC
13,ATMOS G3D PLATFORM NODE 60 DISK 4T,"$97,750","$72,335",Storage,EMC
14,ATMOS G3 DENSE PLATFORM BASE,"$32,999","$24,419",Storage,EMC
15,ATMOS G3F PLATFORM NODE 15 DISK 1T,"$14,300","$10,582",Storage,EMC
16,ATMOS G3F PLATFORM NODE 15 DISK 2T,"$21,800","$16,132",Storage,EMC
17,ATMOS G3F PLATFORM NODE 15 DISK 4T,"$37,500","$27,750",Storage,EMC
18,ATMOS G3 FLEX PLATFORM BASE,"$5,030","$3,722",Storage,EMC
19,ATMOS G3 FLEX PLATFORM BASE,"$9,415","$6,967",Storage,EMC
20,ATMOS CE CAPACITY PER TB,$228,$169,Storage,EMC
21,ATMOS LE TO CE UPGRADE PER TB,$275,$204,Storage,EMC
22,ATMOS LE CAPACITY PER TB,$49,$36,Storage,EMC
23,ATMOS OS CAPACITY PER TB,$163,$121,Storage,EMC
24,ATMOS VE CAPACITY PER TB,$350,$259,Storage,EMC
25,ATMOS CDP CAPACITY PER TB,$125,$93,Storage,EMC
26,DAE 15 1T SATA 7.2K HAPW FLD QTY1 G2,"$6,836","$5,059",Storage,EMC
27,DAE 15 1T SATA 7.2K HAPW FLD QTY2 G2,"$16,880","$12,491",Storage,EMC
28,DAE 15 2T SATA 7.2K HAPW MFG QTY2 G2,"$36,256","$26,829",Storage,EMC
29,DAE 15 2T SATA 7.2K HAPW MFG QTY2 G2,"$36,256","$26,829",Storage,EMC
