SonicWALL SKU,Networking/ISG SKUs (TZ500 and above),Partner Software (Nexus/Tracker SKUs) TZ400 and below,Partner Software (Harmony SKUs) TZ400 and below,SonicWALL Product Description ,MSRP (USD),SecureFirst Discount Eligibility,Minimum Advertised Price (MAP),Hardware/Software,Special Requirements,Notes
01-SSC-0003,A7453132,N/A,N/A,SONICWALL COMPREHENSIVE GATEWAY SECURITY SUITE-W/O VIEWPOINT FOR NSA E6500 (1 YR),8002,Deal Registration Eligible Any Value,8002,S,SNWL Authorization Required to Purchase,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, Content Filtering Premium Services, and E-Class 24x7 Support with Firmware Updates"
01-SSC-0004,A7453133,N/A,N/A,SONICWALL COMPREHENSIVE GATEWAY SECURITY SUITE-W/O VIEWPOINT FOR NSA E6500 (2 YR),13579,Deal Registration Eligible Any Value,13579,S,SNWL Authorization Required to Purchase,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, Content Filtering Premium Services, and E-Class 24x7 Support with Firmware Updates"
01-SSC-0015,A7453144,N/A,N/A,SONICWALL COMPREHENSIVE GATEWAY SECURITY SUITE-W/O VIEWPOINT FOR NSA 2400 (1 YR),1905,Y,1905,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, Content Filtering Premium Services, and E-Class 24x7 Support with Firmware Updates"
01-SSC-0200,A8013077,N/A,N/A,SONICWALL SUPERMASSIVE 9800,54995,Deal Registration Eligible Any Value,CALL FOR PRICE,H,SNWL Authorization Required to Purchase,"Includes  BGP, Stateful HA and A/A DPI, A/A Clustering licensing and DPI-SSL (applicable with Gateway Security Services)"
01-SSC-0202,A9228867,N/A,N/A,SONICWALL SUPERMASSIVE 9800 SERIES POWER SUPPLY AC FRU ,1895,NO,CALL FOR PRICE,H,0,0
01-SSC-0203,A9228866,N/A,N/A,SONICWALL SUPERMASSIVE 9800 SERIES POWER SUPPLY DC FRU    ,2050,NO,CALL FOR PRICE,H,0,0
01-SSC-0204,A9589308,N/A,N/A,SONICWALL SUPERMASSIVE 9800 SERIES FAN FRU,200,NO,CALL FOR PRICE,H,0,0
01-SSC-0210,A8312216,N/A,N/A,SONICWALL TZ600,1645,Y,1234,H,0,SonicWALL TZ600 Appliance
01-SSC-0211,A8312257,N/A,N/A,SONICWALL TZ500,1245,Y,934,H,0,SonicWALL TZ500 Appliance
01-SSC-0212,A8400257,N/A,N/A,SONICWALL TZ500 WIRELESS-AC,1375,Y,1031,H,US ONLY,SonicWALL TZ500 Wireless Appliance
01-SSC-0213,N/A,A9616246,A9713749 ,SONICWALL TZ400,945,Y,709,H,0,SonicWALL TZ400 Appliance
01-SSC-0214,N/A,A9616233,A9718026,SONICWALL TZ400 WIRELESS-AC,1095,Y,821,H,US ONLY,SonicWALL TZ400 Wireless Appliance
01-SSC-0215,N/A,A9616251,A9714056 ,SONICWALL TZ300,645,Y,484,H,0,SonicWALL TZ300 Appliance
01-SSC-0216,N/A,A9616242,A9718025,SONICWALL TZ300 WIRELESS-AC,745,Y,559,H,US ONLY,SonicWALL TZ300 Wireless Appliance
01-SSC-0217,N/A,A9616262,A9714022 ,SONICWALL SOHO,355,Y,266,H,0,SonicWALL SOHO Appliance
01-SSC-0218,N/A,A9616258,A9718023,SONICWALL SOHO WIRELESS-N,495,Y,371,H,US ONLY,SonicWALL SOHO Wireless Appliance
01-SSC-0219,A8312217,N/A,N/A,SONICWALL TZ600 TOTAL SECURE 1YR,2465,Y,1849,H,0,SonicWALL TZ600 Appliance with 1 year of Comprehensive Gateway Security Suite and 24x7 Support
01-SSC-0220,A8312218,N/A,N/A,SONICWALL TZ600 HIGH AVAILABILITY,1152,Y,864,H,0,Must be paired with a regular SonicwALL TZ600 firewall
01-SSC-0221,A8312219,N/A,N/A,SONICWALL TZ600 WITH 8X5 SUPPORT 1 YR,1925,Y,1444,H,0,SonicWALL TZ600 Appliance with 1 year of 8x5 Support and Firmware updates
01-SSC-0222,A8312220,N/A,N/A,SONICWALL TZ600 SECURE UPGRADE PLUS 2YR,2465,Y,1849,H,0,0
01-SSC-0223,A8312221,N/A,N/A,SONICWALL TZ600 SECURE UPGRADE PLUS 3YR,3016,Y,2262,H,0,0
01-SSC-0225,A8312255,N/A,N/A,SONICWALL TZ600 RACK MOUNT KIT,375,Y,281,H,0,Rack Mount Kit for TZ600
01-SSC-0228,A8312227,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ600 SERIES 1YR",362,Y,362,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-0229,A8312228,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ600 SERIES 2YR",615,Y,615,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-0230,A8312229,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ600 SERIES 3YR",869,Y,869,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
