,brand,model,retail_price,partner_price,category
3,SonicWall,SUPERMASSIVE 9800,54995,54995,Network
4,SonicWall,SUPERMASSIVE 9800 SERIES POWER SUPPLY AC FRU ,1895,1895,Network
5,SonicWall,SUPERMASSIVE 9800 SERIES POWER SUPPLY DC FRU    ,2050,2050,Network
6,SonicWall,SUPERMASSIVE 9800 SERIES FAN FRU,200,200,Network
7,SonicWall,TZ600,1645,1645,Network
8,SonicWall,TZ500,1245,1245,Network
9,SonicWall,TZ500 WIRELESS-AC,1375,1375,Network
10,SonicWall,TZ400,945,945,Network
11,SonicWall,TZ400 WIRELESS-AC,1095,1095,Network
12,SonicWall,TZ300,645,645,Network
13,SonicWall,TZ300 WIRELESS-AC,745,745,Network
14,SonicWall,SOHO,355,355,Network
15,SonicWall,SOHO WIRELESS-N,495,495,Network
16,SonicWall,TZ600 TOTAL SECURE,2465,2465,Network
17,SonicWall,TZ600 HIGH AVAILABILITY,1152,1152,Network
18,SonicWall,TZ600 ,1925,1925,Network
19,SonicWall,TZ600 SECURE ,2465,2465,Network
21,SonicWall,TZ600 RACK MOUNT KIT,375,375,Network
55,SonicWall,TZ600 FRU POWER SUPPLY,35,35,Network
61,SonicWall,TZ500 ,1457,1457,Network
62,SonicWall,TZ500 WIRELESS-AC ,1609,1609,Network
63,SonicWall,TZ500 WIRELESS-AC INTL ,1609,1609,Network
64,SonicWall,TZ500 SECURE ,1865,1865,Network
66,SonicWall,TZ500 WIRELESS-AC SECURE ,2065,2065,Network
68,SonicWall,TZ500 WIRELESS-AC INTL SECURE ,2065,2065,Network
70,SonicWall,TZ500 SERIES FRU POWER SUPPLY,35,35,Network
71,SonicWall,TZ500 SERIES RACK MOUNT KIT,350,350,Network
72,SonicWall,TZ500 HIGH AVAILABILITY,872,872,Network
73,SonicWall,TZ500 NFR,623,623,Network
74,SonicWall,TZ500 WIRELESS-AC NFR,688,688,Network
75,SonicWall,TZ500 WIRELESS-AC INTL NFR,688,688,Network
76,SonicWall,TZ500 TOTALSECURE,1865,1865,Network
77,SonicWall,TZ500 WIRELESS-AC TOTALSECURE,2065,2065,Network
78,SonicWall,TZ500 WIRELESS-AC INTL TOTALSECURE,2065,2065,Network
79,SonicWall,TZ500 WIRELESS-AC INTL,1375,1375,Network
113,SonicWall,TZ400 WIRELESS-AC INTL,1095,1095,Network
114,SonicWall,TZ400 SECURE ,1225,1225,Network
116,SonicWall,TZ400 WIRELESS-AC SECURE ,1425,1425,Network
118,SonicWall,TZ400 WIRELESS-AC INTL SECURE ,1425,1425,Network
120,SonicWall,TZ400 TOTALSECURE,1225,1225,Network
121,SonicWall,TZ400 WIRELESS-AC TOTALSECURE,1425,1425,Network
122,SonicWall,TZ400 WIRELESS-AC INTL TOTALSECURE,1425,1425,Network
123,SonicWall,TZ400 SERIES RACK MOUNT KIT,325,325,Network
155,SonicWall,TZ300 WIRELESS-AC INTL,745,745,Network
156,SonicWall,TZ300 SECURE ,965,965,Network
158,SonicWall,TZ300 WIRELESS-AC SECURE ,1125,1125,Network
160,SonicWall,TZ300 WIRELESS-AC INTL SECURE ,1125,1125,Network
162,SonicWall,TZ300 TOTALSECURE,965,965,Network
163,SonicWall,TZ300 WIRELESS-AC TOTALSECURE,1125,1125,Network
164,SonicWall,TZ300 WIRELESS-AC INTL TOTALSECURE,1125,1125,Network
165,SonicWall,TZ300 NFR,323,323,Network
166,SonicWall,TZ300 WIRELESS-AC NFR,373,373,Network
167,SonicWall,TZ300 WIRELESS-AC INTL NFR,373,373,Network
198,SonicWall,SOHO WIRELESS-N INTL,495,495,Network
199,SonicWall,SOHO SECURE ,525,525,Network
201,SonicWall,SOHO WIRELESS-N SECURE ,645,645,Network
203,SonicWall,SOHO WIRELESS-N INTL SECURE ,645,645,Network
205,SonicWall,SOHO TOTALSECURE,525,525,Network
206,SonicWall,SOHO WIRELESS-N TOTALSECURE,645,645,Network
207,SonicWall,SOHO WIRELESS-N INTL TOTALSECURE,645,645,Network
238,SonicWall,"TZ400, TZ300, SOHO SERIES FRU POWER SUPPLY",35,35,Network
239,SonicWall,POE INJECTOR 802.3AT,60,60,Network
241,SonicWall,SONICPOINT ACE ,480,480,Network
242,SonicWall,SONICPOINT ACE W/O POE INJECTOR 24X7 ,1540,1540,Network
244,SonicWall,SONICPOINT ACI ,405,405,Network
245,SonicWall,SONICPOINT ACI W/O POE INJECTOR 24X7 ,1300,1300,Network
253,SonicWall,TZ300 SERIES RACK MOUNT KIT,325,325,Network
254,SonicWall,TZ300/TZ400/TZ500/TZ600 SERIES USB SECURITY CLAMP,30,30,Network
255,SonicWall,SUPERMASSIVE 9800 HIGH AVAILABILITY,38497,38497,Network
256,SonicWall,SUPERMASSIVE 9800 TOTALSECURE,81393,81393,Network
258,SonicWall,SUPERMASSIVE 9800 SECURE ,81393,81393,Network
280,SonicWall,SONICPOINT ACE NFR,287,287,Network
294,SonicWall,SONICPOINT N2 ,350,350,Network
301,SonicWall,SONICPOINT N2 W/O POE INJECTOR 24X7 ,1335,1335,Network
312,SonicWall,SONICPOINT ACE W/O POE INJECTOR 24X7 DYNAMIC ,2055,2055,Network
314,SonicWall,SONICPOINT ACI W/O POE INJECTOR 24X7 DYNAMIC ,1735,1735,Network
