brand,model,category
Hitachi,9910,Storage
Hitachi,9960,Storage
Hitachi,9970,Storage
Hitachi,9980,Storage
Hitachi,520H B2 Server Blade,Servers
Hitachi,9570V,Storage
Hitachi,9580V,Storage
Hitachi,9585V,Storage
Hitachi,AMS1000,Storage
Hitachi,AMS200,Storage
Hitachi,AMS2100,Storage
Hitachi,AMS2300,Storage
Hitachi,AMS2500,Storage
Hitachi,AMS500,Storage
Hitachi,AX55x3,Storage
Hitachi,AX55x4,Storage
Hitachi,AX57A2,Storage
Hitachi,BladeSymphony BS2000,Servers
Hitachi,BladeSymphony BS2500,Servers
Hitachi,BladeSymphony BS320,Servers
Hitachi,BladeSymphony BS500,Servers
Hitachi,Brocade 6510 Switch,Network
Hitachi,Brocade ICX 7750-26Q Switch,Network
Hitachi,Brocade VDX 6740 Switch,Network
Hitachi,CB 2000,Servers
Hitachi,CB 2500,Servers
Hitachi,CB 320,Servers
Hitachi,CB 500,Servers
Hitachi,CB520H,Servers
Hitachi,CB520X,Servers
Hitachi,Compute Blade 500 Chassis,Servers
Hitachi,GGAx51x5,Servers
Hitachi,Global-Active Device,Storage
Hitachi,HCP Entry Pod,Storage
Hitachi,HCP G10 Access Storage Node,Storage
Hitachi,HCP S10 Economy Storage Node,Storage
Hitachi,HCP S30 Economy Storage Node,Storage
Hitachi,HCP Standard Pod,Storage
Hitachi,HCP VM Access Storage Node,Storage
Hitachi,HCP VM Dual Node,Storage
Hitachi,HCP VM Single Node,Storage
Hitachi,HDI Quanta Nitro D51B2 Cluster,Storage
Hitachi,HDI Quanta Nitro D51B2 Cluster Diskless,Storage
Hitachi,HDI Quanta Nitro D51B2 Single-Node,Storage
Hitachi,HDID,Storage
Hitachi,HDS SE9910,Storage
Hitachi,HDS SE9960,Storage
Hitachi,HDS SE9970,Storage
Hitachi,HDS SE9980,Storage
Hitachi,HDS SE9985,Storage
Hitachi,HDS SE9985V,Storage
Hitachi,HDS VSP,Storage
Hitachi,HDS XP10000,Storage
Hitachi,HDS XP1024,Storage
Hitachi,HDS XP12000,Storage
Hitachi,HDS XP128,Storage
Hitachi,HDS XP24000,Storage
Hitachi,HDS XP256,Storage
Hitachi,HDS XP48,Storage
Hitachi,HDS XP512,Storage
Hitachi,HNAS 3080,Storage
Hitachi,HNAS 3090,Storage
Hitachi,HNAS 4040,Storage
Hitachi,HNAS 4040,Storage
Hitachi,HNAS 4060,Storage
Hitachi,HNAS 4060,Storage
Hitachi,HNAS 4080,Storage
Hitachi,HNAS 4080,Storage
Hitachi,HNAS 4100,Storage
Hitachi,HNAS 4100,Storage
Hitachi,HSDP,Storage
Hitachi,HSP 400,Storage
Hitachi,HUS (Hitachi Unified Storage),Storage
Hitachi,HUS VM (Hitachi Unified Storage Platform VM),Storage
Hitachi,Hyper Scale-Out Platform 400,Appliances
Hitachi,Lumada,Appliances
Hitachi,Minkels 42U Rack Cabinet,Servers
Hitachi,NSC55,Storage
Hitachi,Pentaho Data Analytics,Appliances
Hitachi,Rack-Optimized Server 2U Four Node,Servers
Hitachi,Rack-Optimized Server 2U Single Node ,Servers
Hitachi,UCP 2000,Servers
Hitachi,UCP 4000,Servers
Hitachi,UCP 4000e,Servers
Hitachi,UCP HC V210,Servers
Hitachi,UCP HC V210F,Servers
Hitachi,UCP HC V240,Servers
Hitachi,UCP HC V240F,Servers
Hitachi,Unified Storage 150,Servers
Hitachi,USP100,Servers
Hitachi,USP1100,Servers
Hitachi,USP600,Servers
Hitachi,USPV,Servers
Hitachi,USPVM,Servers
Hitachi,VMP 1000,Servers
Hitachi,VMP 150,Servers
Hitachi,VMP 500,Servers
Hitachi,VSP (Hitachi Virtual Storage Platform),Servers
Hitachi,VSP F1500,Servers
Hitachi,VSP F400,Servers
Hitachi,VSP F600,Servers
Hitachi,VSP F800,Servers
Hitachi,VSP G1000,Servers
Hitachi,VSP G1500,Servers
Hitachi,VSP G200,Servers
Hitachi,VSP G400,Servers
Hitachi,VSP G600,Servers
Hitachi,VSP G800,Servers
