brand,model,category
HP,HP 1.8TB 12G SAS 10K rpm SFF (2.5-inch) SC Enterprise 512e ZQ9586,Appliances
HP,HP ProLiant DL380 G9 2U Rack Server VZ3026,Servers
HP,Brocade 16Gb SAN Switch for HPE BladeSystem c-Class,Network
HP,Brocade 16Gb/16 SAN Switch for BladeSystem c-Class C8S45A,Network
HP,Brocade 16Gb/28 SAN Switch for BladeSystem c-Class C8S46A,Network
HP,Brocade 16Gb/28 SAN Switch Power Pack+ for BladeSystem c-Class C8S47A,Network
HP,Brocade 8/12c SAN Switch for BladeSystem c-Class AJ820C,Network
HP,Brocade 8/24c Power Pack+ SAN Switch for BladeSystem c-Class AJ822C,Network
HP,Brocade 8/24c SAN Switch for BladeSystem c-Class AJ821C,Network
HP,Brocade 8Gb SAN Switch for HPE BladeSystem c-Class,Network
HP,Cisco B22HP Fabric Extender for BladeSystem c-Class 641146-B21,Network
HP,Cisco B22HP Fabric Extender with 16 FET for BladeSystem c-Class 657787-B21,Network
HP,HP 1040 SAN Array VN6059,Storage
HP,HP 1040 SAN Array VN6061,Storage
HP,HP 1040 SAN Array VN6063,Storage
HP,HP 1040 SAN Array VN6065,Storage
HP,HP 1040 SAN Array VN6057,Storage
HP,HP 12Gb SAS Expander Card for ML350 Gen9 YN0107,Appliances
HP,HP 12Gb SAS Expander Card with Cables for DL380 Gen9 VZ2917,Appliances
HP,HP 1620-24G Switch VZ4819,Network
HP,HP 1620-8G Switch VZ4818,Network
HP,HP 1920-16G Switch VZ3211,Network
HP,HP 1920-24G Switch VZ3212,Network
HP,HP 1920-24G-PoE+ (180W) Switch VZ3213,Network
HP,HP 1920-24G-PoE+ (370W) Switch VZ3214,Network
HP,HP 1920-48G Switch VZ3215,Network
HP,HP 1920-48G-PoE+ (370W) Switch YR8753,Network
HP,HP 1920-8G-PoE+ (180W) Switch VZ3210,Network
HP,HP 1920-8G-PoE+ (65W) Switch VZ3209,Network
HP,HP 2530-24G Switch QQ3917,Network
HP,HP 2530-24G-PoE+ Switch QR5824,Network
HP,HP 2530-8G Ethernet Switch RM4565,Network
HP,HP 2530-8G-PoE+ Ethernet Switch RM4564,Network
HP,HP 2920 2-Port Stacking Module QW5235,Network
HP,HP 2920-24G-POE+ Switch QW5230,Network
HP,HP 2920-48G Switch QW5231,Network
HP,HP 2920-48G-POE+ Switch QW5232,Network
HP,HP 8/20q Fibre Channel 8-ports Active Switch AQ233B,Network
HP,HP 81E TC6450,Network
HP,HP 81Q TC6455,Network
HP,HP 82Q TC6452,Network
HP,HP 900GB 12G SAS 10K rpm SFF(2.5-inch) SC YZ4004,Storage
HP,HP 920-8G Switch VZ3208,Network
HP,HP A-MSR20-10 Multi-Service Router JD431A,Network
HP,HP BLc3000 Dual DDR2 Onboard Administrator 488100-B21,Appliances
HP,HP BLc7000 Onboard Administrator with KVM Option 456204-B21,Appliances
HP,HP D2220sb Build-to-order Storage Blade QW917A,Storage
HP,HP Ethernet Adapter PA7754,Network
HP,HP Ethernet Adapter PQ1514,Network
HP,HP Ethernet Adapter PQ1526,Network
HP,HP Ethernet Adapter PV7394,Network
HP,HP Ethernet Adapter TC7709,Network
HP,HP Ethernet Adapter VZ2870,Network
HP,HP Ethernet Adapter YZ6841,Network
HP,HP Ethernet Adapter YZ6842,Network
HP,HP Ethernet Adapter YZ6851,Network
HP,HP Ethernet Adapter ZQ9640,Network
HP,HP Ethernet Adapter QW9634,Network
