brand,model,category
IBM,Power4 (p4) and Power4+ (p4+),Servers
IBM,AS/400,Servers
IBM,3490E Tape Cartridges,Storage
IBM,3570 tape Cartridges and Magazines,Storage
IBM,3590 Tape Cartridges,Storage
IBM,3590E Tape Cartridges,Storage
IBM,3592 Tape Cartridge,Storage
IBM,3996 Optical Cartridge,Storage
IBM,Blade Servers,Servers
IBM,BladeCenter Chassis,Servers
IBM,Bluemix Virtual Servers,Servers
IBM,Cisco MDS 9148S 16G Multilayer Fabric Switch for IBM System Storage,Network
IBM,Cisco MDS 9396S 16G Multilayer Fabric Switch,Network
IBM,Cisco MDS 9706 Multilayer Director for IBM System Storage,Network
IBM,Cisco MDS 9710 Multilayer Director,Network
IBM,Cisco MDS 9718 Multilayer,Network
IBM,DeepFlash 150,Storage
IBM,DeepFlash Elastic Storage Server,Storage
IBM,DLT 4000,Storage
IBM,DLT 7000 ,Storage
IBM,DLTtape VS1,Storage
IBM,"DS8870 (961, 96E)",Storage
IBM,DS8880 ,Storage
IBM,"DS8880 (984, 985, 986, 982)",Storage
IBM,DS8880F,Storage
IBM,DS8884 ,Storage
IBM,"DS8884 (984, 84E)",Storage
IBM,DS8884F (984),Storage
IBM,DS8886 ,Storage
IBM,"DS8886 (985, 85E) ",Storage
IBM,"DS8886 (986, 86E)",Storage
IBM,DS8886F (985),Storage
IBM,DS8886F (986),Storage
IBM,DS8888F (988),Storage
IBM,Elastic Storage Server (ESS),Servers
IBM,eServers,Servers
IBM,FlashSystem 900,Storage
IBM,FlashSystem 9840-AE2,Storage
IBM,FlashSystem 9843-AE2,Storage
IBM,FlashSystem A9000,Storage
IBM,FlashSystem A9000R,Storage
IBM,FlashSystem A9835-415R,Storage
IBM,FlashSystem A9836-415,Storage
IBM,FlashSystem A9837-415R,Storage
IBM,FlashSystem A9838-415,Storage
IBM,FlashSystem V9000,Storage
IBM,Flex System p260 Compute Nodes,Servers
IBM,Flex System p460 Compute Nodes,Servers
IBM,IBM 7226 Multimedia Storage Enclosure,Storage
IBM,"Legacy IBM Multiprise (2003, 7060)",Servers
IBM,LinuxONE Emperor L30,Servers
IBM,LinuxONE Emperor L63,Servers
IBM,LinuxONE Emperor L96,Servers
