brand,model,category
NetApp,760,Storage
NetApp,810,Storage
NetApp,820,Storage
NetApp,825,Storage
NetApp,840,Storage
NetApp,880,Storage
NetApp, AFF8040,Storage
NetApp, AFF8080 EX,Storage
NetApp, E2800 All-Flash,Storage
NetApp, E2800 Hybrid,Storage
NetApp, E5600 Hybrid Storage System,Storage
NetApp, StorageGRID Webscale Object Storage Appliance,Storage
NetApp,AFF8060,Storage
NetApp,All-Flash AFF A200,Storage
NetApp,All-Flash AFF A300,Storage
NetApp,All-Flash AFF A700,Storage
NetApp,All-Flash AFF A700s,Storage
NetApp,AltaVault AVA10S Disk Shelf,Storage
NetApp,AltaVault AVA20S Disk Shelf,Storage
NetApp,AltaVault AVA400,Storage
NetApp,AltaVault AVA800,Storage
NetApp,AltaVault AVA-c16,Storage
NetApp,AltaVault AVA-c4,Storage
NetApp,AltaVault AVA-c8,Storage
NetApp,AltaVault AVA-v16,Storage
NetApp,AltaVault AVA-v2,Storage
NetApp,AltaVault AVA-v32,Storage
NetApp,AltaVault AVA-v8,Storage
NetApp,DE1600 DISK SHELF,Storage
NetApp,DE212C Disk Shelf,Storage
NetApp,DE224C Disk Shelf,Storage
NetApp,DE460C Disk Shelf,Storage
NetApp,DE5600 DISK SHELF,Storage
NetApp,DE6600 DISK SHELF ,Storage
NetApp,DS212C,Storage
NetApp,DS2246,Storage
NetApp,DS224C,Storage
NetApp,DS4246,Storage
NetApp,DS4486,Storage
NetApp,DS460C,Storage
NetApp,E2700 Hybrid Storage System,Storage
NetApp,E2712 SYSTEM SHELF,Storage
NetApp,E2724 SYSTEM SHELF,Storage
NetApp,E2760 SYSTEM SHELF,Storage
NetApp,E2800 All-Flash and Hybrid Storage System,Storage
NetApp,E2812 System Shelf,Storage
NetApp,E2824 System Shelf,Storage
NetApp,E2860 System Shelf ,Storage
NetApp,E5612 (DE1600),Storage
NetApp,E5624 (DE5600),Storage
NetApp,E5660 (DE6600),Storage
NetApp,EF560 All-Flash Array,Storage
NetApp,F210,Storage
NetApp,F220,Storage
NetApp,F230,Storage
NetApp,F330,Storage
NetApp,F520,Storage
NetApp,F540,Storage
NetApp,F630,Storage
NetApp,F720,Storage
NetApp,F740,Storage
NetApp,F85,Storage
NetApp,F87,Storage
NetApp,FAS2020,Storage
NetApp,FAS2040,Storage
NetApp,FAS2050,Storage
NetApp,FAS2220,Storage
NetApp,FAS2240,Storage
NetApp,FAS250,Storage
NetApp,FAS2500 Series,Storage
NetApp,FAS2520,Storage
NetApp,FAS2552,Storage
NetApp,FAS2554,Storage
NetApp,FAS2600 Series,Storage
NetApp,FAS2620,Storage
NetApp,FAS2650,Storage
NetApp,FAS270,Storage
NetApp,FAS3020,Storage
NetApp,FAS3040,Storage
NetApp,FAS3050,Storage
NetApp,FAS3070,Storage
NetApp,FAS3140,Storage
NetApp,FAS3160,Storage
NetApp,FAS3170,Storage
NetApp,FAS3210,Storage
NetApp,FAS3220,Storage
NetApp,FAS3240,Storage
NetApp,FAS3250,Storage
NetApp,FAS3270,Storage
NetApp,FAS6030,Storage
NetApp,FAS6040,Storage
NetApp,FAS6070,Storage
NetApp,FAS6080,Storage
NetApp,FAS6210,Storage
NetApp,FAS6220,Storage
NetApp,FAS6240,Storage
NetApp,FAS6250,Storage
NetApp,FAS6280,Storage
NetApp,FAS6290,Storage
NetApp,FAS8000 Series,Storage
NetApp,FAS8020,Storage
NetApp,FAS8040,Storage
NetApp,FAS8060,Storage
NetApp,FAS8080 EX,Storage
NetApp,FAS8200,Storage
NetApp,FAS9000,Storage
NetApp,FAS920,Storage
NetApp,FAS940,Storage
NetApp,FAS960,Storage
NetApp,FAS980,Storage
NetApp,FlexPod Datacenter,Storage
NetApp,FlexPod Express,Storage
NetApp,FlexPod Select,Storage
NetApp,G320,Storage
NetApp,G670,Storage
NetApp,GF270,Storage
NetApp,GF825,Storage
NetApp,GF920,Storage
NetApp,GF940,Storage
NetApp,GF960,Storage
NetApp,NearStore Series R100,Storage
NetApp,NearStore Series R150,Storage
NetApp,NearStore Series R200,Storage
NetApp,N-Series N3300,Storage
NetApp,N-Series N3400,Storage
NetApp,N-Series N3600,Storage
NetApp,N-Series N3700,Storage
NetApp,N-Series N5200,Storage
NetApp,N-Series N5300,Storage
NetApp,N-Series N5500,Storage
NetApp,N-Series N5600,Storage
NetApp,N-Series N6040,Storage
NetApp,N-Series N6060,Storage
NetApp,N-Series N6070,Storage
NetApp,N-Series N7600,Storage
NetApp,N-Series N7700,Storage
NetApp,N-Series N7800,Storage
NetApp,N-Series N7900,Storage
NetApp,Private Storage for Cloud,Storage
NetApp,SolidFire FC Node,Storage
NetApp,SolidFire SF19210,Storage
NetApp,SolidFire SF4805,Storage
NetApp,SolidFire SF9605,Storage
NetApp,StorageGrid SG5612,Storage
NetApp,StorageGrid SG5660,Storage
