brand,model,category
Oracle, All Flash FS Storage System,Storage
Oracle, Fabric Interconnect F1-15,Network
Oracle, Flash Accelerator F160 PCIe Card,Appliances
Oracle, Flash Accelerator F320 PCIe Card,Appliances
Oracle, FS1-2 Controller,Storage
Oracle, FS1-2 Flash Storage System,Storage
Oracle, Fujitsu M10 PCI Expansion Unit,Servers
Oracle, Sun Datacenter InfiniBand Switch 648,Network
Oracle, ZFS Backup Appliance ZS5-4,Appliances
Oracle, ZFS Storage Appliance Racked System ZS5-2,Appliances
Oracle, ZFS Storage Appliance Racked System ZS5-4,Appliances
Oracle,All Flash FS Controller,Storage
Oracle,All Flash FS-1 Storage System,Storage
Oracle,Big Data Appliance X6-2,Appliances
Oracle,Big Data Appliance X6-2 Full Rack,Appliances
Oracle,Big Data Appliance X6-2 HC Node plus InfiniBand Infrastructure,Appliances
Oracle,Big Data Appliance X6-2 Starter Rack,Appliances
Oracle,Brocade 300 Switch,Network
Oracle,Brocade 6505 Switch,Network
Oracle,Brocade 6510 Switch,Network
Oracle,Brocade 6520 Switch,Network
Oracle,Brocade 7800,Network
Oracle,Brocade DCX 8510 Switch,Network
Oracle,Cloud Machine,Servers
Oracle,Cloud Machine Model 1080,Servers
Oracle,Cloud Machine Model 288,Servers
Oracle,Cloud Machine Model 576,Servers
Oracle,Compute Cloud Service - Dedicated Compute Capacity - Model 1000,Servers
Oracle,Compute Cloud Service - Dedicated Compute Capacity - Model 1500,Servers
Oracle,Compute Cloud Service - Dedicated Compute Capacity - Model 2000,Servers
Oracle,Compute Cloud Service - Dedicated Compute Capacity - Model 500,Servers
Oracle,Compute Cloud Service - Dedicated Compute Capacity - SPARC Model 300,Servers
Oracle,Database Appliance,Appliances
Oracle,Database Appliance X6-2-HA,Appliances
Oracle,Database Appliance X6-2L,Appliances
Oracle,Database Appliance X6-2M,Appliances
Oracle,Database Appliance X6-2S,Appliances
Oracle,Dual Port EDR InfiniBand Adapter,Network
Oracle,Dual Port QDR Infiniband Adapter M3,Network
Oracle,Dual Port QDR InfiniBand Adapter M4,Network
Oracle,Ethernet Switch ES2-64,Network
Oracle,Ethernet Switch ES2-72,Network
Oracle,Exadata Database Machine Eighth Rack EF,Appliances
Oracle,Exadata Database Machine Eighth Rack HC,Appliances
Oracle,Exadata Database Machine Half Rack EF,Appliances
Oracle,Exadata Database Machine Half Rack HC,Appliances
Oracle,Exadata Database Machine Quarter Rack EF,Appliances
Oracle,Exadata Database Machine Quarter Rack HC,Appliances
Oracle,Exadata Database Machine X5-2 Full Rack EF,Appliances
Oracle,Exadata Database Machine X5-2 Full Rack HC,Appliances
Oracle,Exadata Database Machine X6-2,Appliances
Oracle,Exadata Database Machine X6-8,Appliances
Oracle,Exadata Database Server,Appliances
Oracle,Exadata Extreme Flash (EF) Storage Server,Storage
Oracle,Exadata Storage Expansion Rack X6-2,Storage
Oracle,Exadata Storage Server X6-2 EF,Storage
