category,subcategory,name
Networking,ExpressRoute,Microsoft Azure
Azure App Service,,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Cloud Services,Standard_L16 Cloud Services,Microsoft Azure
Virtual Machines,A1 VM (Windows),Microsoft Azure
Virtual Machines,Standard_D1_v2 VM (Windows),Microsoft Azure
Cloud Services,Standard_D2 Cloud Services,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Business Analytics,A3 HDInsight,Microsoft Azure
Cloud Services,Standard_E4_v3 Cloud Services,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_F8 VM,Microsoft Azure
Cache,Azure Redis Cache,Microsoft Azure
Data Services,Azure Database for MySQL,Microsoft Azure
Virtual Machines,Standard_A2m_v2 VM,Microsoft Azure
Virtual Machines,Standard_A8m_v2 VM,Microsoft Azure
Data Services,DocumentDB,Microsoft Azure
Cloud Services,A5 Cloud Services,Microsoft Azure
Cognitive Services,Text Analytics,Microsoft Azure
Data Services,Machine Learning,Microsoft Azure
Data Services,Azure Database for MySQL,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Business Analytics,D2 HDInsight,Microsoft Azure
Data Management,Locally Redundant,Microsoft Azure
Cloud Services,A2 Cloud Services,Microsoft Azure
Virtual Machines,Standard_D4_v2 VM,Microsoft Azure
Storage,Block Blob,Microsoft Azure
Virtual Machines,Standard_D5_v2 VM (Windows),Microsoft Azure
Visual Studio,Team Services,Microsoft Azure
Visual Studio,Team Services,Microsoft Azure
Visual Studio,Team Services,Microsoft Azure
Visual Studio,Team Services,Microsoft Azure
Azure App Service,,Microsoft Azure
Azure App Service,,Microsoft Azure
Business Analytics,HDInsight Storage,Microsoft Azure
Virtual Machines,A0 VM,Microsoft Azure
App Service,,Microsoft Azure
Virtual Machines,Standard_D14_v2 VM_Promo (Windows),Microsoft Azure
Virtual Machines,Standard_H16mr VM (Windows),Microsoft Azure
Virtual Machines,Standard_F8 VM (Windows),Microsoft Azure
