brand,model,category
EMC,Celerra NS40G DC NEBS,Storage
EMC,Celerra NS-480,Storage
EMC,Celerra NS500,Storage
EMC,Celerra NS600,Storage
EMC,Celerra NS700 (1st generation),Storage
EMC,Celerra NS700 (2nd generation),Storage
EMC,Celerra NS704 (Integrated),Storage
EMC,Celerra NS80 (Integrated),Storage
EMC,Celerra NS80G,Storage
EMC,Celerra NS-960,Storage
EMC,Celerra NX4,Storage
EMC,CLARiiON AX-100,Storage
EMC,CLARiiON AX-150,Storage
EMC,CLARiiON AX4-5,Storage
EMC,CLARiiON CX200,Storage
EMC,CLARiiON CX300,Storage
EMC,CLARiiON CX3-10,Storage
EMC,CLARiiON CX3-20,Storage
EMC,CLARiiON CX3-40,Storage
EMC,CLARiiON CX3-80,Storage
EMC,CLARiiON CX400,Storage
EMC,CLARiiON CX4-120,Storage
EMC,CLARiiON CX4-240,Storage
EMC,CLARiiON CX4-480,Storage
EMC,CLARiiON CX4-960,Storage
EMC,CLARiiON CX500,Storage
EMC,CLARiiON CX600,Storage
EMC,CLARiiON CX700,Storage
EMC,CLARiiON FC4500,Storage
EMC,CLARiiON FC4700,Storage
EMC,CLARiiON FC5700,Storage
EMC,Connectrix Brocade DS-16B2,Network
EMC,Connectrix Brocade DS-16B3,Network
EMC,Connectrix Brocade DS-220B,Network
EMC,Connectrix Brocade DS-300B (4G Switch),Network
EMC,Connectrix Brocade DS-300B-8G (8G Switch),Network
EMC,Connectrix Brocade DS-32B2,Network
EMC,Connectrix Brocade DS-4100B,Network
EMC,Connectrix Brocade DS-4900B,Network
EMC,Connectrix Brocade DS-5000B,Network
EMC,Connectrix Brocade DS-5100B (4G Switch),Network
EMC,Connectrix Brocade DS-5100B-8G (8G Switch),Network
EMC,Connectrix Brocade DS-5100B-EP,Network
EMC,Connectrix Brocade DS-5300B (4G Switch),Network
EMC,Connectrix Brocade DS-5300B-8G (8G Switch),Network
EMC,Connectrix Brocade DS-6505-R-B,Network
EMC,Connectrix Brocade DS-6505R-B-8G,Network
EMC,Connectrix Brocade DS-6505R-B-EP,Network
EMC,Connectrix Brocade DS-6510F-8GB,Network
EMC,Connectrix Brocade DS-6510F-B,Network
EMC,Connectrix Brocade DS-6510R-8GB,Network
EMC,Connectrix Brocade DS-6510R-B,Network
EMC,Connectrix Brocade DS-6510R-B-EP,Network
EMC,Connectrix Brocade DS-6520F-8GB,Network
EMC,Connectrix Brocade DS-6520F-B,Network
EMC,Connectrix Brocade DS-6520R-8GB,Network
EMC,Connectrix Brocade DS-6520R-B,Network
EMC,Connectrix Brocade DS-8B,Network
EMC,Connectrix Brocade DS-8B2,Network
EMC,Connectrix Brocade DS-8B3,Network
EMC,Connectrix Brocade ED-12000B,Network
EMC,Connectrix Brocade ED-24000B,Network
EMC,Connectrix Brocade ED-48000B,Network
EMC,Connectrix Brocade ED-DCX-4S-B,Network
EMC,Connectrix Brocade ED-DCX8510-4B,Network
EMC,Connectrix Brocade ED-DCX8510-8B,Network
EMC,Connectrix Brocade ED-DCX-B,Network
EMC,Connectrix Brocade ES-5832B,Network
EMC,Connectrix Brocade MP-7500B,Network
EMC,Connectrix Brocade MP-7800B,Network
EMC,Connectrix Brocade MP-8000B,Network
EMC,Connectrix Brocade PB-12000-16,Network
EMC,Connectrix Brocade PB-24000-16,Network
EMC,Connectrix Brocade PB-48000B-16,Network
EMC,Connectrix Brocade PB-48000B-32,Network
EMC,Connectrix Brocade PB-48K-10G-6,Network
EMC,Connectrix Brocade PB-48K-16IP,Network
EMC,Connectrix Brocade PB-48K-18i,Network
EMC,Connectrix Brocade PB-48K-48,Network
EMC,Connectrix Brocade PB-48K-AP4-18,Network
EMC,Connectrix Brocade PB48K-AP4-18U,Network
EMC,Connectrix Brocade PB-DCX-16EB,Network
EMC,Connectrix Brocade PB-DCX-24FCOE,Network
EMC,Connectrix Brocade PB-DCX-32P16G,Network
EMC,Connectrix Brocade PB-DCX-32P8GM,Network
EMC,Connectrix Brocade PB-DCX32P8GME,Network
