category,name,subcategory
Offer Display Name,other_microsoft, 
Windows 10 Enterprise E3,other_microsoft, 
Windows 10 Enterprise E3 VDA,other_microsoft, 
Windows 10 Enterprise E5,other_microsoft, 
Azure Rights Management for faculty,Microsoft Azure, 
Azure Rights Management for students,Microsoft Azure, 
Dynamics 365 for Financials Business Edition Trial,Dynamics 365, 
Windows 10 Enterprise E5,other_microsoft, 
Additional PSTN numbers to extend Skype for Business features,other_microsoft, 
Azure Active Directory Basic,Microsoft Azure, 
Azure Active Directory Basic for Faculty,Microsoft Azure, 
Azure Active Directory Basic for Students,Microsoft Azure, 
Azure Active Directory Premium P1,Microsoft Azure, 
Azure Active Directory Premium P1 for Faculty,Microsoft Azure, 
Azure Active Directory Premium P1 for Students,Microsoft Azure, 
Azure Active Directory Premium P2,Microsoft Azure, 
Azure Active Directory Premium P2 for Faculty,Microsoft Azure, 
Azure Active Directory Premium P2 for Students,Microsoft Azure, 
Azure Information Protection Plan 1,Microsoft Azure, 
Azure Information Protection Premium P1 for Faculty,Microsoft Azure, 
Azure Information Protection Premium P1 for Students,Microsoft Azure, 
Azure Information Protection Premium P2,Microsoft Azure, 
Azure Information Protection Premium P2 for Faculty,Microsoft Azure, 
Azure Information Protection Premium P2 for Students,Microsoft Azure, 
Customer Lockbox,other_microsoft, 
Customer Lockbox for faculty,other_microsoft, 
Customer Lockbox for students,other_microsoft, 
Delve Analytics,other_microsoft, 
Delve Analytics for faculty,other_microsoft, 
Delve Analytics for students,other_microsoft, 
Dyn365 Cloud Add-on From AX Enterprise to Retail,Dynamics 365, 
Dyn365 Cloud Add-on From AX Enterprise to Retail for Faculty,Dynamics 365, 
Dyn365 Cloud Add-on From AX Enterprise to Retail for Student,Dynamics 365, 
Dyn365 Cloud Add-on From AX Enterprise to Talent,Dynamics 365, 
Dyn365 Cloud Add-on From AX Enterprise to Talent for Faculty,Dynamics 365, 
Dyn365 Cloud Add-on From AX Enterprise to Talent for Student,Dynamics 365, 
Dyn365 Cloud Add-on From AX Functional to Retail,Dynamics 365, 
Dyn365 Cloud Add-on From AX Functional to Retail for Faculty,Dynamics 365, 
Dyn365 Cloud Add-on From AX Functional to Retail for Student,Dynamics 365, 
Dyn365 Cloud Add-on From AXEnt/Func to Unified Operations Plan (Qualified Offer),Dynamics 365, 
Dyn365 Cloud Add-on From AXEnt/Func to Unified Operations Plan for Faculty (Qualified Offer),Dynamics 365, 
Dyn365 Cloud Add-on From AXEnt/Func to Unified Operations Plan for Student (Qualified Offer),Dynamics 365, 
"Dyn365 for Operations Activity, Enterprise Edition",Dynamics 365, 
"Dyn365 for Operations Activity, Enterprise Edition for Faculty",Dynamics 365, 
"Dyn365 for Operations Activity, Enterprise Edition for Student",Dynamics 365, 
Dyn365 for Retail FromSA From AX Enterprise/Functional,Dynamics 365, 
Dyn365 for Retail FromSA From AX Enterprise/Functional for Faculty,Dynamics 365, 
Dyn365 for Retail FromSA From AX Enterprise/Functional for Student,Dynamics 365, 
Dyn365 for Talent FromSA From AX Enterprise,Dynamics 365, 
Dyn365 for Talent FromSA From AX Enterprise for Faculty,Dynamics 365, 
