Doc currency,USD,,,,,,,,,
,,,,,,,,,,
A/C/D/U,Valid-From Date,Valid To Date,Offer Display Name,Offer ID,License Agreement Type,Purchase Unit,Secondary License Type,End Customer Type,List Price,ERP Price
ADD,20170901,99991231,Windows 10 Enterprise E3,39504991-553b-48c2-bdf4-ea47f93bf784,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,9.60,12.00
,,,Windows 10 Enterprise E3 VDA,4b608b64-3a27-4373-854c-fd33115a8ce1,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,14.40,18.00
,,,Windows 10 Enterprise E5,f2c42110-ec7b-4434-b55e-1a9e456ac2f0,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,15.20,19.00
CHG,20170901,99991231,Additional PSTN numbers to extend Skype for Business features (Government Pricing),c9a1f66b-d7af-4a1b-b1e1-b1c1d529f601,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,4.00,5.00
,,,Azure Active Directory Basic (Government Pricing),0a7983cd-961f-4c7c-9cbf-1f6bb322cbf3,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,0.80,1.00
,,,Azure Active Directory Premium P1 (Government Pricing),ceca6875-f3ba-4f9a-916f-9cc9e322d4aa,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,4.80,6.00
,,,Azure Information Protection Plan 1 (Government Pricing),e60e0348-1710-484b-992a-32b294d4cde1,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,1.60,2.00
,,,Cloud App Security for Government,855b3ebe-2483-4696-aef9-75652133a387,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,4.00,5.00
,,,Customer Lockbox (Government Pricing),f8a22f25-2b60-4fdb-b920-b0bec26bff5f,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,1.60,2.00
,,,Delve Analytics (Government Pricing),58de892e-9962-4477-96f9-bc1bef83a02c,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,3.20,4.00
,,,Dyn365 Cloud Add-on From AX Enterprise to Retail (Government Pricing),b5482513-1360-446a-902d-f0344f4d2245,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,66.50,95.00
,,,Dyn365 Cloud Add-on From AX Functional to Retail (Government Pricing),553867f7-18ec-407a-84c5-0fa5ced5eb05,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,101.50,145.00
,,,Dyn365 Cloud Add-on From AXEnt/Func to Unified Operations Plan (Government Pricing) (Qualified Offer),e24314a6-91dc-4ff0-a4af-1147e47de981,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,45.14,64.50
,,,"Dyn365 for Operations Activity, Enterprise Edition (Government Pricing)",45a5c94f-8f85-404f-a4ab-d57691b70d67,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,35.00,50.00
,,,Dyn365 for Retail FromSA From AX Enterprise/Functional (Government Pricing),8c2d4389-3a3b-4b55-af76-463d8ae2ad6b,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,101.50,145.00
,,,Dyn365 for Talent FromSA From AX Enterprise (Government Pricing),4fd28a28-d0e2-4de4-9edf-c60df0125600,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,23.80,34.00
,,,Dyn365 Unified Operations Plan From SA From AX Ent/Func (Government Pricing) (Qualified Offer),0b64cd57-e4f9-40e3-878e-f939950bfadc,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,79.80,114.00
,,,Dynamics 365 Ent Edition Cust Eng Plan - Add-On for CRM Basic (Qualified Offer) (Government Pricing),af76013f-8d2a-4a72-82e0-ff84d62e2bf3,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,24.97,33.30
,,,Dynamics 365 Ent Edition Cust Eng Plan - Add-On for CRM Pro (Qualified Offer) (Government Pricing),d6b8d2ee-b1ee-4638-9060-12d50b8e51c7,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,37.29,49.70
,,,Dynamics 365 Ent Edition Cust Eng Plan - From SA for CRM Basic (Qualified Offer) (Government Pricing),a1f241a6-d3de-4a37-b888-cca5dc2cef57,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,30.00,40.00
,,,Dynamics 365 Ent Edition Cust Eng Plan - From SA for CRM Pro (Qualified Offer) (Government Pricing),f88658e1-9a50-4663-b5ea-6ae6e32eea8b,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,51.75,69.00
,,,Dynamics 365 Ent Edition Cust Eng Plan - From SA From Cust Eng Plan Business Apps (On-Premises) User CALs (Government Pricing),20328fab-1e67-48f2-865f-8dcffd14b9f5,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,73.31,97.80
,,,Dynamics 365 Ent edition Cust Eng Plan - Tier 1 (1-99 users) (Government Pricing),c57a709a-965a-4924-9816-84698b913c4b,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,86.25,115.00
,,,Dynamics 365 Ent Edition Cust Eng Plan - Tier 1 Qualified Offer for CRMOL Pro Add-On to O365 Users (Government Pricing),cd96bc4f-9b90-42e5-9272-0d9ef276800a,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,49.81,66.40
,,,Dynamics 365 Ent Edition Cust Eng Plan - Tier 2 (100-249 Users) (Government Pricing),b5b371b0-fa5e-47b9-8728-471aa1078f20,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,67.50,90.00
,,,Dynamics 365 Ent Edition Cust Eng Plan - Tier 3 (250-499 Users) (Government Pricing),e4b8f8b3-48f1-42e3-814f-64fe73ab1d83,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,60.00,80.00
,,,Dynamics 365 Ent Edition Cust Eng Plan - Tier 4 (500-999 Users) (Government Pricing),0c7433bb-fccc-485f-9226-035d3514bf6e,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,52.50,70.00
,,,Dynamics 365 Ent Edition Cust Eng Plan - Tier 5 (1000+ Users) (Government Pricing),c870a456-a1a0-439f-9a86-5e75b27f9e1f,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,45.00,60.00
,,,Dynamics 365 Ent Edition Cust Eng Plan for CRMOL Basic (Qualified Offer) (Government Pricing),07c69e23-443d-40bc-8e06-9b3623c970f1,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,43.13,57.50
,,,Dynamics 365 Ent Edition Cust Eng Plan for CRMOL Professional (Qualified Offer) (Government Pricing),48a55976-722a-4a19-8597-2544ee28315d,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,64.69,86.30
,,,Dynamics 365 Ent Edition Plan - Add-On for AX Ent/Functional (Qualified Offer) (Government Pricing),493cc8b8-7873-4125-bd4a-7479cb4ccc80,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,53.54,76.50
,,,Dynamics 365 Ent Edition Plan - From SA for AX Ent/Functional (Qualified Offer) (Government Pricing),2b8c363a-d960-47a6-8d17-62645919ea1d,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,88.20,126.00
,,,Dynamics 365 Ent Edition Plan - Operations Addnl Database Storage (Government Pricing),003f9f2f-7cbc-42db-9d60-7308c140e4e0,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,3.50,5.00
,,,Dynamics 365 Ent Edition Plan - Operations Addnl File Storage (Government Pricing),2e7810b4-faf4-4d98-aefb-fa7bc7d00b0b,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,0.70,1.00
,,,Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 1:Developer & Test Instance (Government Pricing),58718cc7-2477-4016-90a4-f3d7c2747de6,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,297.50,425.00
,,,Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 2:Standard Acceptance Testing (Government Pricing),f1b1bf48-db29-46c9-836d-9c1e916cb583,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,945.00,1350.00
,,,Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 3:Premier Acceptance Testing (Government Pricing),2c0d88aa-f73c-409a-b90f-af2cb5c8e4cd,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,2835.00,4050.00
,,,Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 4:Standard Performance Testing (Government Pricing),dd69ef92-314e-445b-a131-f33bd85b036a,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,5530.00,7900.00
,,,Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 5:Premier Performance Testing (Government Pricing),eca123e6-23dc-4649-94bf-b26c4dda22cb,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,8400.00,12000.00
,,,Dynamics 365 Ent edition Plan (Government Pricing),34c191b8-ced7-4e9b-ae6f-653531387d73,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,147.00,210.00
,,,Dynamics 365 Enterprise Edition - Additional Database Storage (Government Pricing),7f975734-3e60-4a1a-9200-084befa083e6,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,3.75,5.00
,,,Dynamics 365 Enterprise Edition - Additional Non-Production Instance (Government Pricing),f5a22ff0-71e6-4569-92a9-826290151fd8,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,112.50,150.00
,,,Dynamics 365 Enterprise Edition - Additional Portal (Government Pricing),e7afc5a3-049a-4a0e-b2b0-c8921d1d9b97,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,375.00,500.00
,,,Dynamics 365 Enterprise Edition - Additional Portal Page Views (Government Pricing),f9e4c71e-bde1-440a-b010-d1ec89a74dae,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,37.50,50.00
,,,Dynamics 365 Enterprise Edition - Additional Production Instance (Government Pricing),d99c49c8-c9eb-4651-b8b8-5ec217b8ccd8,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,412.50,550.00
,,,Dynamics 365 Enterprise Edition - Additional Social Posts (Government Pricing),df26b9db-f90f-4f3d-b515-eca5b47a7779,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,75.00,100.00
,,,"Dynamics 365 for Customer Service, Enterprise Edition - Add-On for CRM Basic (Qualified Offer) (Government Pricing)",6eb448f0-0114-44bd-b7cc-eb5ae7487ca0,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,21.22,28.30
,,,"Dynamics 365 for Customer Service, Enterprise Edition - From SA for CRM Basic (Qualified Offer) (Government Pricing)",76114f23-5046-4371-9ba2-498462d6782e,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,26.25,35.00
,,,"Dynamics 365 for Customer Service, Enterprise Edition - From SA From Customer Service (On-Premises) Device CAL (Government Pricing)",7d020c0c-ba44-4a59-91e6-ee68dceeea68,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,92.44,123.30
,,,"Dynamics 365 for Customer Service, Enterprise Edition - From SA From Customer Service (On-Premises) User CAL (Government Pricing)",3b854428-991c-4285-bc89-ea4c8375ced5,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,60.56,80.80
,,,"Dynamics 365 for Customer Service, Enterprise Edition (Government Pricing)",73a04bc3-ff6f-46f3-ad24-288c0d831074,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,71.25,95.00
,,,"Dynamics 365 for Customer Service, Enterprise Edition Device (Government Pricing)",b103ccd5-91ab-4d55-8722-ba08a4f9e892,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,108.75,145.00
,,,"Dynamics 365 for Customer Service, Enterprise Edition for CRMOL Basic (Qualified Offer) (Government Pricing)",912d5032-8d77-4850-a000-a0656fecadd6,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,37.50,50.00
,,,"Dynamics 365 for Customer Service, Enterprise Edition for CRMOL Professional (Qualified Offer) (Government Pricing)",82fa6933-3b92-47df-b222-7aeb22c3d139,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,57.00,76.00
,,,"Dynamics 365 for Customer Service, Enterprise Edition Qualified Offer for CRMOL Pro Add-On to O365 Users (Government Pricing)",90c77c82-8815-44af-a8b6-436c76f06f8a,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,43.89,58.50
,,,"Dynamics 365 for Field Service, Enterprise Edition - Resource Scheduling Optimization (Government Pricing)",39804b12-6330-4b66-a8cd-455955a357c9,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,22.50,30.00
,,,"Dynamics 365 for Field Service, Enterprise Edition (Government Pricing)",f0ac1c7d-d4d9-49aa-bcbb-54f986c688da,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,71.25,95.00
,,,"Dynamics 365 for Field Service, Enterprise Edition Device (Government Pricing)",bca2331c-db82-44dc-a33a-f76b1fe14246,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,108.75,145.00
,,,"Dynamics 365 for Field Service, Enterprise Edition for CRMOL Basic + Field Service Add-On (Qualified Offer) (Government Pricing)",74766768-999e-4fb5-8c96-a3a0c3f63e10,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,57.00,76.00
,,,"Dynamics 365 for Financials, Business Edition (Government Pricing)",d1c0e307-7bfb-4348-a2ec-a55e6f62730d,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,28.00,40.00
,,,"Dynamics 365 for Financials, Business Edition add-on for NAV/GP Full or SL Pro (qualified offer) - Government Pricing",9d831a9c-4508-4341-9fe5-7e8f1d1dab3b,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,2.10,3.00
,,,"Dynamics 365 for Financials, Business Edition from SA for NAV/GP Full, NAV Ltd, or SL AM/BE/Std/Pro (qualified offer) - Government Pricing",c85f51e3-155f-4c43-971d-f193100190c8,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,16.80,24.00
,,,"Dynamics 365 for Operations Activity, Enterprise Edition Cloud Add-on from AX Functional (Government Pricing)",48fff6d4-bc85-4267-97aa-71e2269e5585,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,15.88,22.70
,,,"Dynamics 365 for Operations Activity, Enterprise Edition Cloud Add-on from AX Functional (Qualified Offer) (Government Pricing)",7a10e169-6373-463f-a3d3-7873f320c01a,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,7.14,10.20
,,,"Dynamics 365 for Operations Activity, Enterprise Edition Cloud Add-on from AX Task (Government Pricing)",a7d7dfd6-27fb-4711-8e76-5825d6334016,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,26.30,37.60
,,,"Dynamics 365 for Operations Activity, Enterprise edition Cloud Add-on from AX Task (Qualified Offer) (Government Pricing)",3771a4c3-c304-4541-a594-139decf3dc71,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,17.54,25.10
,,,"Dynamics 365 for Operations Activity, Enterprise Edition from SA from AX Functional or Task (Qualified Offer) (Government Pricing)",86c2d6d2-57a8-4960-a879-b2bfa562091c,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,21.00,30.00
,,,"Dynamics 365 for Operations Activity, Enterprise Edition From SA from AX Functionality or Task (Government Pricing)",10d3144a-ebfe-4103-84b1-5c8c1f7b825e,Government,1 Month(s),NON-SPECIFIC,CLOUD RESELLER GOVERNMENT,29.75,42.50
,,,"Dynamics 365 for Operations, Enterprise Edition - Additional Database Storage (Government Pricing)",dc15133c-7cf0-47e5-a070-a7a39ea2d1d3,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,3.50,5.00
,,,"Dynamics 365 for Operations, Enterprise Edition - Additional File Storage (Government Pricing)",9d27e58e-4555-45a7-8ca8-ae9955ebf86c,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,0.70,1.00
,,,"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 1:Developer & Test Instance (Government Pricing)",6002d250-f68d-4915-bd92-501df8159d0d,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,297.50,425.00
,,,"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 2:Standard Acceptance Testing (Government Pricing)",e49abe4f-e17f-4574-9890-ce6ab9373d9e,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,945.00,1350.00
,,,"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 3:Premier Acceptance Testing (Government Pricing)",1e1560da-7e92-4fc6-8b48-6099a44f4005,Government,1 Month(s),ADDON,CLOUD RESELLER GOVERNMENT,2835.00,4050.00
